,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,605158,华达新材,22.26,75.58,12.05,13.45,14.48,"金属新材料,其他金属新材料",,-2.14,2.67
1,600255,鑫科材料,23.4,65.68,7.26,16.16,9.47,"金属新材料,其他金属新材料",铜缆高速连接,-3.97,1.67
2,000980,众泰汽车,31.08,123.61,9.59,16.93,4.21,"汽车整车,乘用车",,1.71,2.34
3,600983,惠而浦,31.38,74.27,24.89,34.02,32.21,"白色家电,冰洗",垃圾分类,10.03,2.67
4,605179,一鸣食品,160.9,217.93,61.06,159.35,146.66,"饮料制造,乳品","共同富裕示范区,长三角一体化,社区团购,冷链物流,乳业,电子商务",9.98,4.67
5,600567,山鹰国际,28.73,60.9,9.28,17.13,4.95,造纸,,-3.2,1.67
6,605199,葫芦娃,96.91,166.53,-11.78,42.06,32.61,中药,"创新药,肝炎概念,幽门螺杆菌概念,仿制药一致性评价,海南自贸区,医药电商,流感",-10.01,3.67
7,600518,康美药业,30.3,73.84,15.32,24.89,1.06,中药,维生素,6.72,1.67
8,600868,梅雁吉祥,49.56,107.93,30.08,44.16,32.67,"电力,水电","时空大数据,绿色电力,新型城镇化,职业教育,水泥概念,粤港澳大湾区,小金属概念,水利",9.9,3.34
9,600650,锦江在线,9.39,97.82,4.67,-13.7,20.4,"公路铁路运输,公交",,5.65,1.67
10,002186,全聚德,46.44,76.7,3.5,28.23,25.09,"景点及旅游,酒店及餐饮",白酒概念,-1.26,2.01
11,300561,汇金科技,127.04,581.1,6.98,77.13,75.26,"计算机应用,软件开发","信创,网络安全,互联网金融,物业管理,国产操作系统,人脸识别,语音技术,物联网",9.35,2.67
12,002315,焦点科技,48.22,123.28,25.08,27.21,46.12,互联网电商,"ERP概念,家庭医生,跨境支付(CIPS),互联网保险",9.35,2.34
13,600540,新赛股份,43.47,72.54,-10.47,10.53,11.33,其他种植业,,-0.43,3.67
14,002069,獐子岛,50.96,92.77,12.27,19.78,24.28,水产养殖,,0.0,4.33
15,002321,华英农业,36.7,116.18,-0.38,10.46,13.79,畜禽养殖,养鸡,-3.3,2.0
16,600230,沧州大化,17.12,17.17,6.23,8.13,6.89,聚氨酯,,0.83,2.67
17,600293,三峡新材,22.51,76.25,6.81,19.88,23.27,玻璃玻纤,"低辐射玻璃(Low-E),硅能源",3.7,3.01
18,002641,公元股份,26.88,29.53,9.09,11.69,10.49,管材,,-2.64,2.67
19,600170,上海建工,16.41,54.12,5.19,10.51,4.8,房屋建设,,0.35,2.33
20,603488,展鹏科技,28.69,43.21,11.95,17.35,8.22,楼宇设备,,-5.71,2.0
21,600653,申华控股,46.19,45.33,14.71,28.77,7.48,汽车服务Ⅲ,,1.11,3.0
22,605198,安德利,34.57,71.56,12.57,24.69,26.97,软饮料,,1.55,3.0
23,300952,恒辉安防,41.33,50.21,9.87,21.15,24.11,鞋帽及其他,,-3.2,3.34
24,600439,瑞贝卡,28.23,197.65,9.54,20.11,2.75,饰品,,5.16,3.34
25,601929,吉视传媒,50.86,159.43,15.2,34.29,16.34,有线电视网络,国资云,1.29,4.67
26,300242,佳云科技,36.61,294.71,11.99,27.51,17.03,广告营销,参股保险,-1.32,1.34
27,000545,金浦钛业,16.92,92.02,6.52,12.64,5.38,钛白粉,钛白粉概念,2.08,4.0
28,300326,凯利泰,32.21,109.9,11.0,25.12,21.36,医疗耗材,,7.57,5.0
29,301127,天源环保,75.16,149.11,20.87,30.42,40.34,水务及水治理,"生物质能发电,地下管网",12.83,4.67
30,603712,七一二,25.07,31.94,19.23,30.54,13.33,,"6G概念,高铁,卫星导航",10.0,2.33
31,300624,万兴科技,44.68,121.43,29.38,34.88,24.25,,"Web3.0,数据安全,云办公",1.49,1.34
32,300399,天利科技,79.92,296.5,37.1,56.48,24.73,,"信创,互联网保险,5G",-2.88,1.67
33,000981,山子高科,67.84,165.74,44.56,64.12,31.6,,"先进封装,华为汽车,物业管理,汽车拆解概念,上海自贸区,物联网",9.84,3.0
34,002587,奥拓电子,37.42,61.19,10.11,7.84,17.37,,MicroLED概念,-3.21,1.67
35,300296,利亚德,24.08,63.01,8.29,12.55,5.62,,分拆上市意愿,2.04,2.0
36,002203,海亮股份,6.58,38.35,3.48,6.77,6.2,,金属钴,2.75,2.01
37,600828,茂业商业,28.71,71.9,4.75,17.55,15.03,,信托概念,-2.85,2.0
38,003042,中农联合,51.12,93.93,-16.39,11.69,6.37,,草甘膦,-1.78,2.33
