,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,600679,上海凤凰,103.49,164.95,-27.14,17.44,33.74,"非汽车交运,汽车服务,其他交运设备","上海国企改革,两轮车,共享单车,体育产业",-9.94,3.0
1,600793,宜宾纸业,170.92,256.14,-0.39,18.55,96.75,造纸,"西部大开发,国企改革,食品安全",-2.53,4.0
2,003041,真爱美家,154.22,220.63,-9.82,9.34,45.54,服装家纺,,0.23,2.0
3,300192,科德教育,52.27,53.0,-2.92,7.79,22.71,教育,,4.03,3.33
4,002481,双塔食品,57.68,57.68,-1.39,-20.08,13.35,其他农产品加工,,2.15,3.34
5,603667,五洲新春,111.19,186.24,4.61,-13.34,67.95,金属制品,"汽车热管理,风电",4.88,1.34
6,300949,奥雅股份,65.14,66.42,-9.24,20.08,15.69,装饰园林,职业教育,4.48,1.6700000000000002
7,002867,周大生,24.85,33.7,-0.7,-1.11,10.89,饰品,,0.0,1.67
8,000016,深康佳A,20.58,274.3,-4.57,-6.28,2.15,冰洗,,0.97,2.33
9,605337,李子园,62.16,109.42,-1.07,-20.33,12.8,软饮料,,1.94,2.0
10,000785,居然智家,101.43,149.12,-0.76,-8.58,32.21,商业物业经营,蚂蚁金服概念,3.68,2.34
11,600386,北巴传媒,33.97,72.98,0.84,-6.45,0.63,汽车服务Ⅲ,,-1.24,2.67
12,603214,爱婴室,67.97,153.98,-1.4,10.74,36.49,专业连锁,托育服务,-1.83,2.67
13,601121,宝地矿业,10.59,43.94,1.45,1.01,6.08,冶钢原料,金属铅,2.65,3.0
14,301297,富乐德,16.0,330.46,1.06,-3.52,-1.19,半导体设备,,0.02,2.0
15,600724,宁波富达,67.9,67.9,-7.65,2.63,33.6,商业地产,水泥概念,-0.9,3.0
16,002768,国恩股份,21.29,52.47,-0.68,-3.45,4.87,,丙烯酸,0.74,2.34
17,600226,亨通股份,28.33,59.04,0.78,-7.53,8.86,,禽流感,2.79,2.33
18,300403,汉宇集团,65.82,146.1,1.97,-10.68,31.42,,垃圾分类,6.17,1.34
19,300805,电声股份,81.38,170.26,-3.48,27.75,31.88,,网约车,-0.69,3.0
20,002215,诺普信,31.82,88.99,-5.17,-2.98,19.79,,草甘膦,1.88,2.33
21,300199,翰宇药业,24.49,78.59,22.62,21.96,34.13,"化学制药,化学制剂","合成生物,减肥药,猴痘概念,创新药,肝炎概念,幽门螺杆菌概念,CRO概念,仿制药一致性评价,辅助生殖,NMN概念,互联网医疗,细胞免疫治疗,工业大麻",12.21,2.0
22,603717,天域生物,110.39,154.64,-20.94,10.35,40.33,"养殖业,畜禽养殖","钠离子电池,猪肉,特色小镇",4.47,2.67
23,301009,可靠股份,59.98,108.53,38.65,45.69,37.58,"美容护理,个护用品","宠物经济,养老概念",18.69,3.34
24,300809,华辰装备,29.33,120.76,18.93,22.58,66.0,机床工具,工业母机,16.33,2.34
25,002134,天津普林,61.56,232.35,-3.31,5.75,33.27,印制电路板,"PCB概念,天津自贸区",2.4,2.33
26,300430,诚益通,24.37,98.03,14.47,12.69,25.43,其他自动化设备,"消毒剂,工业大麻",-0.71,2.34
27,300199,翰宇药业,24.49,78.59,22.62,21.96,34.13,,NMN概念,12.21,2.01
28,301010,晶雪节能,57.77,100.18,44.03,49.69,53.17,"建筑材料,其他建材","冰雪产业,碳中和,节能环保,装配式建筑",20.0,2.0
29,300493,润欣科技,80.33,99.12,76.89,86.26,72.55,其他电子,"AI眼镜,先进封装,专精特新,传感器,汽车芯片,无线耳机,人工智能,汽车电子,小米概念,智能穿戴,芯片概念,融资融券,5G,智能医疗,移动支付,物联网",19.99,4.0
30,002351,漫步者,41.05,120.38,24.16,23.7,15.97,品牌消费电子,,8.03,4.0
31,300170,汉得信息,57.49,56.37,28.84,36.02,34.35,,"智谱AI,财税数字化,ERP概念,数据安全,长三角一体化",11.51,1.6700000000000002
32,300465,高伟达,34.82,189.51,18.13,17.92,29.61,,"跨境支付(CIPS),化债概念(AMC概念)",3.51,3.0
